Date,Close
2023-11-30,510
2023-12-01,520
2023-12-04,530
2023-12-05,540
2023-12-06,550
2023-12-07,560
2023-12-08,570
2023-12-11,580
2023-12-12,590
2023-12-13,600
2023-12-14,610
2023-12-15,620
2023-12-18,630
2023-12-19,640
2023-12-20,650
2023-12-21,660
2023-12-22,670
2023-12-26,680
2023-12-27,690
2023-12-28,700
2023-12-29,710
2024-01-02,720
2024-01-03,730
2024-01-04,740
2024-01-05,750
2024-01-08,760
2024-01-09,770
2024-01-10,780
2024-01-11,790
2024-01-12,800
2024-01-16,810
2024-01-17,820
2024-01-18,830
2024-01-19,840
2024-01-22,850
2024-01-23,860
2024-01-24,870
2024-01-25,880
2024-01-26,890
2024-01-29,900
2024-01-30,910
2024-01-31,920
2024-02-01,930
2024-02-02,940
2024-02-05,950
2024-02-06,960
2024-02-07,970
2024-02-08,980
2024-02-09,990
2024-02-12,1000
2024-02-13,1010
2024-02-14,1020
2024-02-15,1030
2024-02-16,1040
2024-02-20,1050
2024-02-21,1060
2024-02-22,1070
2024-02-23,1080
2024-02-26,1090
2024-02-27,1100
2024-02-28,1110
2024-02-29,1120
2024-03-01,1130
2024-03-04,1140
2024-03-05,1150
2024-03-06,1160
2024-03-07,1170
2024-03-08,1180
2024-03-11,1190
2024-03-12,1200
2024-03-13,1210
2024-03-14,1220
2024-03-15,1230
2024-03-18,1240
2024-03-19,1250
2024-03-20,1260
2024-03-21,1270
2024-03-22,1280
2024-03-25,1290
2024-03-26,1300
2024-03-27,1310
2024-03-28,1320
2024-04-01,1330
2024-04-02,1340
2024-04-03,1350
2024-04-04,1360
2024-04-05,1370
2024-04-08,1380
2024-04-09,1390
2024-04-10,1400
2024-04-11,1410
2024-04-12,1420
2024-04-15,1430
2024-04-16,1440
2024-04-17,1450
2024-04-18,1460
2024-04-19,1470
2024-04-22,1480
2024-04-23,1490
2024-04-24,1500
2024-04-25,1510
2024-04-26,1520
2024-04-29,1530
2024-04-30,1540
2024-05-01,1550
2024-05-02,1560
2024-05-03,1570
2024-05-06,1580
2024-05-07,1590
2024-05-08,1600
2024-05-09,1610
2024-05-10,1620
2024-05-13,1630
2024-05-14,1640
2024-05-15,1650
2024-05-16,1660
2024-05-17,1670
2024-05-20,1680
2024-05-21,1690
2024-05-22,1700
2024-05-23,1710
2024-05-24,1720
2024-05-28,1730
2024-05-29,1740
2024-05-30,1750
2024-05-31,1760
2024-06-03,1770
2024-06-04,1780
2024-06-05,1790
2024-06-06,1800
2024-06-07,1810
2024-06-10,1820
2024-06-11,1830
2024-06-12,1840
2024-06-13,1850
2024-06-14,1860
2024-06-17,1870
2024-06-18,1880
2024-06-20,1890
2024-06-21,1900
2024-06-24,1910
2024-06-25,1920
2024-06-26,1930
2024-06-27,1940
2024-06-28,1950
2024-07-01,1960
2024-07-02,1970
2024-07-03,1980
2024-07-05,1990
2024-07-08,2000
2024-07-09,2010
2024-07-10,2020
2024-07-11,2030
2024-07-12,2040
2024-07-15,2050
2024-07-16,2060
2024-07-17,2070
2024-07-18,2080
2024-07-19,2090
2024-07-22,2100
2024-07-23,2110
2024-07-24,2120
2024-07-25,2130
2024-07-26,2140
2024-07-29,2150
2024-07-30,2160
2024-07-31,2170
2024-08-01,2180
2024-08-02,2190
2024-08-05,2200
2024-08-06,2210
2024-08-07,2220
2024-08-08,2230
2024-08-09,2240
2024-08-12,2250
2024-08-13,2260
2024-08-14,2270
2024-08-15,2280
2024-08-16,2290
2024-08-19,2300
2024-08-20,2310
2024-08-21,2320
2024-08-22,2330
2024-08-23,2340
2024-08-26,2350
2024-08-27,2360
2024-08-28,2370
2024-08-29,2380
2024-08-30,2390
2024-09-03,2400
2024-09-04,2410
2024-09-05,2420
2024-09-06,2430
2024-09-09,2440
2024-09-10,2450
2024-09-11,2460
2024-09-12,2470
2024-09-13,2480
2024-09-16,2490
2024-09-17,2500
2024-09-18,2510
2024-09-19,2520
2024-09-20,2530
2024-09-23,2540
2024-09-24,2550
2024-09-25,2560
2024-09-26,2570
2024-09-27,2580
2024-09-30,2590
2024-10-01,2600
2024-10-02,2610
2024-10-03,2620
2024-10-04,2630
2024-10-07,2640
2024-10-08,2650
2024-10-09,2660
2024-10-10,2670
2024-10-11,2680
2024-10-14,2690
2024-10-15,2700
2024-10-16,2710
2024-10-17,2720
2024-10-18,2730
2024-10-21,2740
2024-10-22,2750
2024-10-23,2760
2024-10-24,2770
2024-10-25,2780
2024-10-28,2790
2024-10-29,2800
2024-10-30,2810
2024-10-31,2820
2024-11-01,2830
2024-11-04,2840
2024-11-05,2850
2024-11-06,2860
2024-11-07,2870
2024-11-08,2880
2024-11-11,2890
2024-11-12,2900
2024-11-13,2910
2024-11-14,2920
2024-11-15,2930
2024-11-18,2940
2024-11-19,2950
2024-11-20,2960
2024-11-21,2970
2024-11-22,2980
2024-11-25,2990
2024-11-26,3000
2024-11-27,3010
2024-11-29,3020
