Date,Close
2023-11-30,100
2023-12-01,110
2023-12-04,120
2023-12-05,130
2023-12-06,140
2023-12-07,150
2023-12-08,160
2023-12-11,170
2023-12-12,180
2023-12-13,190
2023-12-14,200
2023-12-15,210
2023-12-18,220
2023-12-19,230
2023-12-20,240
2023-12-21,250
2023-12-22,260
2023-12-26,270
2023-12-27,280
2023-12-28,290
2023-12-29,300
2024-01-02,310
2024-01-03,320
2024-01-04,330
2024-01-05,340
2024-01-08,350
2024-01-09,360
2024-01-10,370
2024-01-11,380
2024-01-12,390
2024-01-16,400
2024-01-17,410
2024-01-18,420
2024-01-19,430
2024-01-22,440
2024-01-23,450
2024-01-24,460
2024-01-25,470
2024-01-26,480
2024-01-29,490
2024-01-30,500
2024-01-31,510
2024-02-01,520
2024-02-02,530
2024-02-05,540
2024-02-06,550
2024-02-07,560
2024-02-08,570
2024-02-09,580
2024-02-12,590
2024-02-13,600
2024-02-14,610
2024-02-15,620
2024-02-16,630
2024-02-20,640
2024-02-21,650
2024-02-22,660
2024-02-23,670
2024-02-26,680
2024-02-27,690
2024-02-28,700
2024-02-29,710
2024-03-01,720
2024-03-04,730
2024-03-05,740
2024-03-06,750
2024-03-07,760
2024-03-08,770
2024-03-11,780
2024-03-12,790
2024-03-13,800
2024-03-14,810
2024-03-15,820
2024-03-18,830
2024-03-19,840
2024-03-20,850
2024-03-21,860
2024-03-22,870
2024-03-25,880
2024-03-26,890
2024-03-27,900
2024-03-28,910
2024-04-01,920
2024-04-02,930
2024-04-03,940
2024-04-04,950
2024-04-05,960
2024-04-08,970
2024-04-09,980
2024-04-10,990
2024-04-11,1000
2024-04-12,1010
2024-04-15,1020
2024-04-16,1030
2024-04-17,1040
2024-04-18,1050
2024-04-19,1060
2024-04-22,1070
2024-04-23,1080
2024-04-24,1090
2024-04-25,1100
2024-04-26,1110
2024-04-29,1120
2024-04-30,1130
2024-05-01,1140
2024-05-02,1150
2024-05-03,1160
2024-05-06,1170
2024-05-07,1180
2024-05-08,1190
2024-05-09,1200
2024-05-10,1210
2024-05-13,1220
2024-05-14,1230
2024-05-15,1240
2024-05-16,1250
2024-05-17,1260
2024-05-20,1270
2024-05-21,1280
2024-05-22,1290
2024-05-23,1300
2024-05-24,1310
2024-05-28,1320
2024-05-29,1330
2024-05-30,1340
2024-05-31,1350
2024-06-03,1360
2024-06-04,1370
2024-06-05,1380
2024-06-06,1390
2024-06-07,1400
2024-06-10,1410
2024-06-11,1420
2024-06-12,1430
2024-06-13,1440
2024-06-14,1450
2024-06-17,1460
2024-06-18,1470
2024-06-20,1480
2024-06-21,1490
2024-06-24,1500
2024-06-25,1510
2024-06-26,1520
2024-06-27,1530
2024-06-28,1540
2024-07-01,1550
2024-07-02,1560
2024-07-03,1570
2024-07-05,1580
2024-07-08,1590
2024-07-09,1600
2024-07-10,1610
2024-07-11,1620
2024-07-12,1630
2024-07-15,1640
2024-07-16,1650
2024-07-17,1660
2024-07-18,1670
2024-07-19,1680
2024-07-22,1690
2024-07-23,1700
2024-07-24,1710
2024-07-25,1720
2024-07-26,1730
2024-07-29,1740
2024-07-30,1750
2024-07-31,1760
2024-08-01,1770
2024-08-02,1780
2024-08-05,1790
2024-08-06,1800
2024-08-07,1810
2024-08-08,1820
2024-08-09,1830
2024-08-12,1840
2024-08-13,1850
2024-08-14,1860
2024-08-15,1870
2024-08-16,1880
2024-08-19,1890
2024-08-20,1900
2024-08-21,1910
2024-08-22,1920
2024-08-23,1930
2024-08-26,1940
2024-08-27,1950
2024-08-28,1960
2024-08-29,1970
2024-08-30,1980
2024-09-03,1990
2024-09-04,2000
2024-09-05,2010
2024-09-06,2020
2024-09-09,2030
2024-09-10,2040
2024-09-11,2050
2024-09-12,2060
2024-09-13,2070
2024-09-16,2080
2024-09-17,2090
2024-09-18,2100
2024-09-19,2110
2024-09-20,2120
2024-09-23,2130
2024-09-24,2140
2024-09-25,2150
2024-09-26,2160
2024-09-27,2170
2024-09-30,2180
2024-10-01,2190
2024-10-02,2200
2024-10-03,2210
2024-10-04,2220
2024-10-07,2230
2024-10-08,2240
2024-10-09,2250
2024-10-10,2260
2024-10-11,2270
2024-10-14,2280
2024-10-15,2290
2024-10-16,2300
2024-10-17,2310
2024-10-18,2320
2024-10-21,2330
2024-10-22,2340
2024-10-23,2350
2024-10-24,2360
2024-10-25,2370
2024-10-28,2380
2024-10-29,2390
2024-10-30,2400
2024-10-31,2410
2024-11-01,2420
2024-11-04,2430
2024-11-05,2440
2024-11-06,2450
2024-11-07,2460
2024-11-08,2470
2024-11-11,2480
2024-11-12,2490
2024-11-13,2500
2024-11-14,2510
2024-11-15,2520
2024-11-18,2530
2024-11-19,2540
2024-11-20,2550
2024-11-21,2560
2024-11-22,2570
2024-11-25,2580
2024-11-26,2590
2024-11-27,2600
2024-11-29,2610
